fecha,cola_nombre,alertadas,respondidas,manejadas,no_contestadas,salientes,tiempoManejo,EnPlataforma,Ocupado_GestionBackOffice,Disponible,tiempoAlertado,tiempoConversacion_Entrantes,tasa_abandono,ratio_ocupacion,AHT,ASA,ATT
2025-04-23,CMP_COV_BGPURGENCIAS_ESSD8401,23,13,13,10,0,0.04,409.04,0.11,0.04,0.0,0.04,30.0,58.1,0.03,0.0,0.02
2025-04-23,CMP_COV_BGP_ESSD8401,630,530,674,100,144,1.44,433.47,1.11,0.07,0.07,1.21,5.64,89.86,0.03,0.06,0.02
2025-04-23,CMP_MKT_BGPURGENCIAS_ESSD8401,13,11,41,2,30,0.36,452.62,2.61,0.14,0.01,0.13,9.82,73.8,0.04,0.1,0.03
2025-04-23,CMP_MKT_BGP_ESSD8401,1234,1176,1851,58,675,2.22,463.36,3.79,0.03,0.06,1.63,4.41,96.82,0.04,0.08,0.03
2025-04-24,CMP_COV_BGPURGENCIAS_ESSD8401,15,12,12,3,0,0.03,408.05,0.42,0.06,0.0,0.03,8.33,55.88,0.02,0.2,0.02
2025-04-24,CMP_COV_BGP_ESSD8401,599,540,679,59,139,1.85,437.69,0.21,0.05,0.08,1.54,4.15,90.88,0.04,0.06,0.02
2025-04-24,CMP_MKT_BGPURGENCIAS_ESSD8401,15,14,49,1,35,0.42,417.97,1.14,0.05,0.01,0.15,3.57,82.8,0.05,0.07,0.04
2025-04-24,CMP_MKT_BGP_ESSD8401,1226,1186,1813,40,627,2.19,459.37,3.7,0.02,0.06,1.65,3.51,97.79,0.04,0.07,0.03
2025-04-25,CMP_COV_BGPURGENCIAS_ESSD8401,9,8,8,1,0,0.06,389.02,0.24,0.06,0.0,0.05,12.5,57.56,0.05,0.0,0.04
2025-04-25,CMP_COV_BGP_ESSD8401,530,471,615,59,144,1.68,410.18,0.7,0.09,0.07,1.4,5.28,85.01,0.03,0.07,0.02
2025-04-25,CMP_MKT_BGPURGENCIAS_ESSD8401,10,9,39,1,30,0.35,425.35,1.86,0.01,0.01,0.13,11.11,96.78,0.04,0.13,0.04
2025-04-25,CMP_MKT_BGP_ESSD8401,1110,1079,1688,31,609,2.41,432.74,3.22,0.05,0.06,1.76,1.25,96.78,0.04,0.06,0.03
2025-04-28,CMP_COV_BGPURGENCIAS_ESSD8401,5,5,5,0,0,0.06,262.72,0.0,0.2,0.0,0.05,0.0,47.96,0.05,0.15,0.05
2025-04-28,CMP_COV_BGP_ESSD8401,215,205,245,10,40,0.9,210.35,0.04,0.14,0.03,0.82,2.48,79.2,0.03,0.04,0.02
2025-04-28,CMP_MKT_BGPURGENCIAS_ESSD8401,4,4,40,0,36,0.18,332.54,2.76,0.0,0.0,0.03,0.0,97.8,0.02,0.06,0.02
2025-04-28,CMP_MKT_BGP_ESSD8401,886,850,1283,36,433,1.67,355.24,2.82,0.04,0.05,1.27,2.22,93.5,0.04,0.07,0.03
2025-04-29,CMP_COV_BGPURGENCIAS_ESSD8401,23,19,39,4,20,0.1,402.8,0.36,0.06,0.01,0.06,16.67,72.98,0.02,0.18,0.02
2025-04-29,CMP_COV_BGP_ESSD8401,585,531,947,54,416,1.74,423.69,1.75,0.09,0.06,1.28,3.66,92.03,0.03,0.06,0.02
2025-04-29,CMP_MKT_BGPURGENCIAS_ESSD8401,11,11,205,0,194,0.81,485.95,5.14,0.01,0.0,0.07,0.0,98.82,0.02,0.08,0.01
2025-04-29,CMP_MKT_BGP_ESSD8401,1311,1263,1866,48,603,2.47,472.0,4.0,0.02,0.07,1.89,2.1,97.83,0.04,0.06,0.03
